id,data,esg_type,promise_status,promise_string,verification_timeline,evidence_status,evidence_string,evidence_quality,company,ticker,page_number,pdf_url,company_source,confidence_min,conf_T1,conf_T2,conf_T3,conf_T4
400000,本公司承諾於2030年達成範疇一及範疇二溫室氣體淨零排放，集團已連續五年榮獲台灣企業永續獎金獎，並積極參與多項環保公益活動。,,Yes,承諾於2030年達成範疇一及範疇二溫室氣體淨零排放,between_2_and_5_years,Yes,集團已連續五年榮獲台灣企業永續獎金獎，並積極參與多項環保公益活動,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400001,集團目標2028年女性管理職比例提升至40%，本公司一向重視性別平等，並設置多元共融委員會及員工協助方案。,,Yes,目標2028年女性管理職比例提升至40%,between_2_and_5_years,Yes,重視性別平等，並設置多元共融委員會及員工協助方案,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400002,公司計畫於2027年底前全面使用再生能源，目前已於屏東廠導入太陽能板示範案，可滿足該廠約5%電力需求。,,Yes,計畫於2027年底前全面使用再生能源,within_2_years,Yes,於屏東廠導入太陽能板示範案，可滿足該廠約5%電力需求,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400003,本公司宣示2035年達成範疇三供應鏈減碳50%，今年度已邀請主要供應商共同舉辦兩場永續說明會。,,Yes,宣示2035年達成範疇三供應鏈減碳50%,longer_than_5_years,Yes,已邀請主要供應商共同舉辦兩場永續說明會,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400004,我們承諾2029年將產品包裝塑膠用量減少30%，目前正在進行包材替代材料的研發評估，並已成立跨部門專案小組。,,Yes,承諾2029年將產品包裝塑膠用量減少30%,between_2_and_5_years,Yes,正在進行包材替代材料的研發評估，並已成立跨部門專案小組,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400005,公司預定於2027年導入100%電動物流車隊，目前車隊中有3台油電混合車輛作為試行，運行狀況良好。,,Yes,預定於2027年導入100%電動物流車隊,within_2_years,Yes,目前車隊中有3台油電混合車輛作為試行,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400006,本公司目標2030年董事會多元化比例達50%，現任董事會成員具備豐富產業經驗及高度多元背景。,,Yes,目標2030年董事會多元化比例達50%,between_2_and_5_years,Yes,現任董事會成員具備豐富產業經驗及高度多元背景,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400007,我們承諾2028年水資源回收率達到80%，本公司高度重視水資源永續，每年舉辦世界水資源日宣導活動。,,Yes,承諾2028年水資源回收率達到80%,between_2_and_5_years,Yes,每年舉辦世界水資源日宣導活動,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400008,集團宣布2026年底完成所有營運據點的ISO 14001認證，目前已開始相關文件準備及員工教育訓練。,,Yes,宣布2026年底完成所有營運據點的ISO 14001認證,within_2_years,Yes,目前已開始相關文件準備及員工教育訓練,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
400009,"本公司目標2032年生物多樣性正向影響面積達1,000公頃，公司長期支持地方造林活動，董事長親自參與多場植樹典禮。",,Yes,"目標2032年生物多樣性正向影響面積達1,000公頃",longer_than_5_years,Yes,公司長期支持地方造林活動，董事長親自參與多場植樹典禮,Misleading,synthetic,,-1,,ap_handcraft_v1,1.0,1.0,1.0,1.0,1.0
